"IDEABOOK_ID","CUSTOMER_ID","NAME","DESCRIPTION","IDEABOOK_TYPE"
"4,933","3,984","2B home","Bed, wardrobe, sofa, entertain",ITEM
"4,946","4,009",Mobile uploads,,MOBILE_UPLOAD
"4,980","4,062",Mobile uploads,,MOBILE_UPLOAD
"4,991","4,074",Mobile uploads,,MOBILE_UPLOAD
"4,992","4,075",Mobile uploads,,MOBILE_UPLOAD
"4,993","4,077",Mobile uploads,,MOBILE_UPLOAD
"5,000","4,082",Mobile uploads,,MOBILE_UPLOAD
"5,001","4,083",Mobile uploads,,MOBILE_UPLOAD
"5,002","4,084",Mobile uploads,,MOBILE_UPLOAD
"5,003","4,087",Mobile uploads,,MOBILE_UPLOAD
"5,004","4,090",Mobile uploads,,MOBILE_UPLOAD
"5,005","4,091",Mobile uploads,,MOBILE_UPLOAD
"5,006","4,090",ไม่ๆๆๆ,,ITEM
"5,020","4,102",Mobile uploads,,MOBILE_UPLOAD
"5,021","4,103",Mobile uploads,,MOBILE_UPLOAD
"5,022","4,104",Mobile uploads,,MOBILE_UPLOAD
"5,023","4,105",Mobile uploads,,MOBILE_UPLOAD
"5,024","4,106",Mobile uploads,,MOBILE_UPLOAD
"5,025","4,107",Mobile uploads,,MOBILE_UPLOAD
"5,026","4,107",โซฟาห้องรับแขก,,ITEM
"5,040","4,122",Mobile uploads,,MOBILE_UPLOAD
"5,041","4,123",Mobile uploads,,MOBILE_UPLOAD
"5,060","4,142",Mobile uploads,,MOBILE_UPLOAD
"5,061","4,143",Mobile uploads,,MOBILE_UPLOAD
"5,080","4,162",Mobile uploads,,MOBILE_UPLOAD
"5,081","4,163",Mobile uploads,,MOBILE_UPLOAD
"5,082","4,164",Mobile uploads,,MOBILE_UPLOAD
"5,083","4,165",Mobile uploads,,MOBILE_UPLOAD
"5,084","4,166",Mobile uploads,,MOBILE_UPLOAD
"5,085","4,167",Mobile uploads,,MOBILE_UPLOAD
"5,086","4,166",พื้นที่น่ารัก,,ITEM
"5,087","4,168",Mobile uploads,,MOBILE_UPLOAD
"5,088","4,179",Mobile uploads,,MOBILE_UPLOAD
"5,100","4,182",Mobile uploads,,MOBILE_UPLOAD
"5,101","4,183",Mobile uploads,,MOBILE_UPLOAD
"5,120","4,202",Mobile uploads,,MOBILE_UPLOAD
"5,121","4,203",Mobile uploads,,MOBILE_UPLOAD
