CUSTOMER_ID,QUANTITY,MATNR,MAKTX
2082,1,25025857,SB???????#1639C-41-014-1/???/???????HMH
2082,1,19114354,???????U-BOOM#2/??????/??????????
2082,1,19023492,????RINA/SL??/?????
2082,1,25025857,SB???????#1639C-41-014-1/???/???????HMH
2082,1,19023492,????RINA/SL??/?????
2082,1,19109896,????YARALLA#2/???????/3S
2082,1,25025857,SB???????#1639C-41-014-1/???/???????HMH
2082,1,19051802,????NASCA#2/???????????
2082,1,25025857,SB???????#1639C-41-014-1/???/???????HMH
2082,1,19026283,ZEN(JE)/?????6 /ESPRESSO
2082,1,19114411,DAYBED BOHEMIAN/???????????/???????
2082,1,19023492,????RINA/SL??/?????
2082,1,25025851,SB???????#1639B-02-017/???/???/HMH
2082,1,19116513,????SIMPLY/???????/DAYBED
2082,1,19051802,????NASCA#2/???????????
2082,1,25025857,SB???????#1639C-41-014-1/???/???????HMH
2082,1,25017323,SBDS ??? #XFZ 13102518/SH
2082,1,19109198,????#952427/ELLA/3S/???/?????????????
2082,1,49000098,AVA
2082,1,19077271,MINIMO/?????BM5'/G/CANYON OAK/SL???
2082,2,19132656,????MAJOR/???????????/??????????/2S
2082,1,19132656,????MAJOR/???????????/??????????/2S
2082,1,49000849,PILLOWS
2082,1,49000469,FARRINI
2082,1,19124894,??????????#809018/BACH II/3???????/?????
2082,1,59010076,Bedroom/Pietra6/AD/I-WALNUT/TORTORA
2082,1,25027768,????45X45/IF YOU LOVE ME LET ME SLEEP
2082,1,25027769,????45X45/YOU ARE MY SUNSHINE
2082,1,25017603,SBDS ?????????? #14A1195 A/VM***
2082,2,19113826,BENTE/???????????PT120/?????/?????-?????
2082,1,19077271,MINIMO/?????BM5'/G/CANYON OAK/SL???
2082,1,19068842,PATINAL/?????BW5'/K/???/??????
2082,1,25027769,????45X45/YOU ARE MY SUNSHINE
2082,1,25027768,????45X45/IF YOU LOVE ME LET ME SLEEP
2082,1,19090819,LEPINO/?????????MR50/???/?????
2082,1,59001898,Sofa/Jelly#4/Corner /???/?????ZY
2082,1,25024088,?????????#804307/NUTCRACKER/15??/???/XM
2082,1,19111578,???????U-FO/??????????????
2082,1,19121578,???????BLINK#16ABC017/??????/2S
2082,1,59014258,Living/Bricko-L/TV90R/Set B/Au-Greyto
2082,2,59014891,Bedroom/Melona6'&Melona137/White
2082,1,25027771,????45X45/WATER PAINT GREY
2082,1,19026309,MEZZINI-A/?????6 /D/HL/I-WALNUT/??
2082,1,19121579,????????????BEMIS#15BBC047/??????
2082,1,25027768,????45X45/IF YOU LOVE ME LET ME SLEEP
2082,1,59008490,SEASPELL Living-300
2082,1,19133918,????VESTA/???????/SL/???/??????
2082,1,19086638,MELONA/?????BW6'/M/???
2082,1,25027036,????45X45/???BELIEVE
2082,1,19132656,????MAJOR/???????????/??????????/2S
2082,1,19132656,????MAJOR/???????????/??????????/2S
2082,1,19132656,????MAJOR/???????????/??????????/2S
2082,1,19090819,LEPINO/?????????MR50/???/?????
2082,1,19112773,????YONO#3/?????????/???
2082,1,19132656,????MAJOR/???????????/??????????/2S
2082,1,25027769,????45X45/YOU ARE MY SUNSHINE
2082,1,25025851,SB???????#1639B-02-017/???/???/HMH
2082,1,19077277,MINIMO/?????????DK60-70/CANYON OAK/I-TWI
2082,1,25027769,????45X45/YOU ARE MY SUNSHINE
2082,1,19046597,GUSTO/????????GST-45/I-WALNUT
2082,1,19132656,????MAJOR/???????????/??????????/2S
2082,1,19133918,????VESTA/???????/SL/???/??????
2082,1,59008490,SEASPELL Living-300
2082,1,19117426,HEWKA/?????????M100/??????/?????
2082,1,59015402,Dining/LINNE-A80/HAZEL&YONEST/??????x2
2082,1,19089735,????EVRA140/SL???/????????????????/2S
2082,1,19123187,????CASSETTO/SL/??.LB/??????????-??./2S
2082,1,25025767,VP ??????????#HLZ.7565/MDF/???/EW
2082,1,19077271,MINIMO/?????BM5'/G/CANYON OAK/SL???
2082,1,49000022,AVA
2082,1,49000842,PILLOWS
2142,1,19000900,PREMA-XL(SA)/???????143B/??????
2142,1,59013099,Bedroom/Spazz 5'&Minimo/Set1/CANY/ITW
2316,2,19045731,MAXIMUS(SC)WC030-120/DHF05-120/???PVC/HG
2316,2,19076887,MAXIMUS/????????SHS120/?????????
2316,1,19110756,REX/??????WSE160/D05-01/???/???-PHG??
2316,2,19045731,MAXIMUS(SC)WC030-120/DHF05-120/???PVC/HG
2316,2,19076887,MAXIMUS/????????SHS120/?????????
2316,1,19110756,REX/??????WSE160/D05-01/???/???-PHG??
2391,1,59007711,Bedroom/Patinal 5'/WG/KC222-1/SWISS-WH
2085,1,59011306,WDPLUS/Set1/I-TWIST/PALAZZO/CHG???
2085,1,19111037,????????TOLONE/??????????/???????***
2085,1,19112870,ARMCHAIR PICHA/??/?????????
2085,1,19114650,????FELIZIO/???????/???????/SL???/3S
2085,1,59004339,Bedroom/Bieber/Maple/Floral Pink
2085,1,19114641,????????RUBINA/???/SL???
2085,1,19112932,NOZ/??????WS134/???PHG???-?????????
2085,1,59011922,Bedroom/Spazz6'&Ricchi/Set1/???/G-TWIST
2085,1,59012635,Bedroom/Tyler6'&Patinal134&Garson/Solid
2085,1,19121074,????C-BALTON#2/??/??????????/???????
2085,1,19086673,MAHONY/?????BW5'/M/???
2085,1,19023000,KOLOZE/?????5'/???/????????
2085,1,59013204,Living/Maximus&Perco/2.2/SolidOak/PHG-WH
2085,1,59004260,Living/Maximus 3.0 m.set 7/WH/Solid Oak
2085,1,19076895,MEUDON I/?????3.5'/E/?????????
2085,1,19014291,KOLOZE-A/?????6'/A??????????????M03-1551
2243,1,19090401,BACKUS/??????????TV120/?????????/???????
2243,1,59011105,Living/Chosen 240cm./White Oak
2243,1,59012432,Bedroom/Spazz5'/Set5/???/G-TWIST
2243,1,59012401,Bedroom/Backus5'&TV120/Solid Oak#1
2243,1,59012407,NAUTICA/?????+?????????&SEASPELL/SH120
2243,1,59012394,Bedroom/Patinal6'&Urbani/Solid-Grey
2243,1,59012156,Bedroom/Hewka-E6'/Full/Wenge-White-Denim
2243,1,19116092,CALIFORNIA/?????BF6'/FB CREAM TWIST/??
2243,1,59001898,Sofa/Jelly#4/Corner /???/?????ZY
2243,2,19111270,RETHO-F/?????BW5'/??????/SL???
2243,2,19128090,??????KC/Crosby-RT/????6???
2243,1,19077271,MINIMO/?????BM5'/G/CANYON OAK/SL???
2233,1,19060546,MEUDON I/?????3.5'/E/???
2233,1,19111260,RETHO-E/?????BW6'/??????/SL???
1042,1,59008825,Living/Plazz120cm.&Muto Sofa/??????/Set1
1042,1,59000334,Bedroom/Patisia/L 6'/White
1042,1,19097434,EXIO/?????6'/D/G???/HG???-??
1042,1,19067854,???????RICHMON/??????????????-???/3S
1042,1,25011991,????# XFZ-L005B
1042,1,19096338,ACADIA/????????CF100/?????/???????
1042,1,19050212,LUNAR/?????6'/???BNHE134-15???
1042,1,19111094,????VOBY/??????HE471-10/???????
1042,1,19042767,CONTRA/?????6 /BL1/??????/?????ESPRESSO
1042,1,19111293,LYBRARY/??????????BS40/?????????
1042,1,19110767,PATHENOZ/????????DT60/???/PHG??-??
1042,1,59011411,Bedroom/Bente5'/Solid-Denim-Grey
1042,1,59011144,Bedroom/Finetti 6'& GlazeWO200/??/???
1042,1,19111228,VP???#MW-451-01/160x230/?????????/ESP
1042,1,19100787,DUFFERIN/?????MR68/????
1042,1,19114074,????FRESHY/???FASHION?????/????SL??
1042,1,25023301,SBDS ????????? #C2032B/????/??/U2
1042,1,25017705,VP ???????????1??/PL
1042,1,25023496,SBDS ??????????Hydrangea pot H19cm/LJ
1042,1,25023257,VP ??????????? #XC74978J/???+Canvas/XC
1042,1,25023319,SBDS ?????????????? #GM21-15419/CN***
1042,1,19116630,????LOWELL#2/???????/SL?????????/??????
1042,1,19094079,????U-GOOD/?????????#BL203
1042,1,19092205,????????????????NAUTICA/?????./??????
1042,1,25014525,SBDS ??????????? #5018N/YK
1042,1,59015402,Dining/LINNE-A80/HAZEL&YONEST/??????x2
1042,1,19077271,MINIMO/?????BM5'/G/CANYON OAK/SL???
1042,1,59015402,Dining/LINNE-A80/HAZEL&YONEST/??????x2
1042,2,59015402,Dining/LINNE-A80/HAZEL&YONEST/??????x2
1042,1,19130599,????LOKI/????????/??????
1042,1,59015402,Dining/LINNE-A80/HAZEL&YONEST/??????x2
2320,1,19111935,?????????LORENZ/???????/SL???
2320,1,19112241,?????????COMMON/???????/???????????
2320,1,19110601,OPTIMUSSYS/???TV120/DW05-120/???????/??
2320,1,19112212,?????????GLASS/????/HG???/??????***
2320,1,19108850,GLAZE/???TV150/I-WALNUT/CHG???
2320,1,19110884,PIETRA/?????????TV150/I-WAL/TORTO-PIETRA
2320,1,19112400,URBANI/??????????TV90/???/PHG???-?????
2320,1,19112399,URBANI/??????????TV90/?????????/?????
2320,1,59010230,Living/Ruzzio&Spazio 3.2m/I-wal/CHG
2320,1,19096187,ECONI/?????????TV150/ESPRESSO/I-TWIST
2320,1,19120727,????AIWAN/??????#QT-2/2S
21,1,19047928,PATISIA-L/?????6 /BL/???/????????
21,1,25017431,????45*45 #1329A-300-2/HMH
21,1,25017251,SBDS ??????? #XC55153/XC
21,1,25017251,SBDS ??????? #XC55153/XC
21,1,19037281,TRIZZ/???WF185/DM01F/D09F/LR/I-WALNUT/??
21,1,19110082,ARTY/?????BW3'/A/???????/?????/???
21,1,59011149,Living/Exio & Infinity1.80 m./HG???
21,1,59001234,Bedroom/Paberto 6'/I-Walnut
21,1,59011308,WDPLUS/Set1/I-TWIST/TRIZZ/ESP/??????
21,1,19112932,NOZ/??????WS134/???PHG???-?????????
22,1,19049635,ARMCHAIR ALISON#ASC007B/????/???????***
22,1,19106665,KIDZIO/????????C60/CANYON OAK/???-???
22,1,19084437,BIEBER/??????W80/MAPLE/FLORAL PINK
22,1,19106652,KIDZIO/?????BW3.5'-DW/CANYON/???-???-???
22,1,59008643,Office/Ralphs DK150&SC60/Autumn Brown
22,1,19090858,???????SANVI/????????????/Cherry
22,1,19106666,KIDZIO/?????????DK100/CANYON OAK/???/???
22,1,19086613,??????????????+????COVAN/???????/SL?????
22,1,19110881,PIETRA/?????BW6'/A/??A/I-WAL/TTR-PIETRA
22,1,19090935,GLORIOUS/?????BM6'/CLS ALM YOSE/????/??
22,1,19108958,PRESTO/??????????BS98/ESPRESSO/??????
22,1,19110884,PIETRA/?????????TV150/I-WAL/TORTO-PIETRA
22,2,19114655,????VINTAGE/???SK/??????????/2S
22,1,19114013,HIVE2/????????????9????/????????
22,1,19040788,????PERTO 2/???????/SL IVORY1527/1S
22,2,19112395,URBANI/?????????DK110/?????????/?????
22,1,59010206,Dining/ANAKIN/DN140/CHG TORTO&VISH#2x4
22,1,59011149,Living/Exio & Infinity1.80 m./HG???
22,1,19110881,PIETRA/?????BW6'/A/??A/I-WAL/TTR-PIETRA
22,1,59011149,Living/Exio & Infinity1.80 m./HG???
22,1,19090935,GLORIOUS/?????BM6'/CLS ALM YOSE/????/??
22,1,59011045,Living/Flip  1.20m./G???/Espresso
22,1,19086672,MAHONY/?????2????BW3.5'/M/???
22,1,25023311,SBDS ??????? #GM19-15109-2/??/CN***
22,1,19086672,MAHONY/?????2????BW3.5'/M/???
22,1,25023311,SBDS ??????? #GM19-15109-2/??/CN***
22,1,59011482,Bedroom/Noz5'&Inzio/WH-PHG-WG
22,1,59011045,Living/Flip  1.20m./G???/Espresso
22,1,19095623,???????MAX/?????/??????
22,1,19113182,CHLOE/?????BM6'/F/I-TWI/CLS DARK SHER/LB
22,1,59011117,Bedroom/Tyler5'&Patinal134/Walnut
22,1,19068798,TAZZINA/?????BW5'/C/I-WALNUT
22,1,59011110,Bedroom/Patinal5'&ZerenoDK120/Solid-Grey
22,1,59011117,Bedroom/Tyler5'&Patinal134/Walnut
22,1,19114354,???????U-BOOM#2/??????/??????????
22,1,25023341,SBDS ??????? #8S521-46/???/??+???/SC
22,1,25023340,SBDS ??????? #8S521-44/???/??+???/SC
22,1,25023256,VP ??????????? #XC74977J/???+Canvas/XC
22,1,25023340,SBDS ??????? #8S521-44/???/??+???/SC
22,1,59011537,Living/Divde120cm/G-twist/NOMAC#3???
22,1,19063977,???????NESTRY/?????????#PL0207
22,1,19111578,???????U-FO/??????????????
22,1,25017252,SBDS ??????? #XC55166/XC
22,1,25025161,????45X45/MARBLE/???
22,1,19122203,MIC/?????BM6'/ESP/FB CREAM TWIST
22,1,19122203,MIC/?????BM6'/ESP/FB CREAM TWIST
2435,1,19089069,????MULANO/???????/SL/GR#4114/??????
2435,1,59008209,Bedroom/Glaze 6'/Set 3/White/CHG White
2498,1,19110885,PIETRA/?????????????NT50/I-WALNUT/PIETRA
2686,1,59004170,Sofa/Gipsy#4 3+1/????
2686,1,19077280,????GIPSY#4/????MAR C-191/??????????/1S
2509,1,19110830,RECLINER MALABO/?????????/1RE
2509,1,19110830,RECLINER MALABO/?????????/1RE
2647,1,19077769,??????????CUTTA/????????
2647,2,19111578,???????U-FO/??????????????
2647,2,19111578,???????U-FO/??????????????
2647,1,19111578,???????U-FO/??????????????
2716,1,19089166,???????????EARRA/???????????***
2716,1,19089166,???????????EARRA/???????????***
2716,1,19089166,???????????EARRA/???????????***
