,CUSTOMER_ID,ADDRESS_POSTAL_CODE,Age
0,"2,083",20170,29.28767123287671
13,"2,390",10250,31.50958904109589
16,"2,406",10150,34.347945205479455
21,"2,412",11110,28.301369863013697
22,"2,413",11000,35.6986301369863
24,"2,416",10280,35.85205479452055
26,"2,082",11120,41.31506849315068
27,"2,142",10140,29.50958904109589
32,"2,291",12130,33.59452054794521
36,"2,316",10250,22.567123287671233
42,"2,391",11110,29.734246575342464
52,"2,426",11130,38.85205479452055
53,"2,085",10330,21.10958904109589
57,"2,229",21140,34.21917808219178
59,"2,243",11150,37.38630136986301
63,"2,264",10700,43.8
66,"2,309",10260,36.78630136986301
73,"2,392",10240,41.61643835616438
74,"2,402",11000,36.24383561643835
75,"2,405",10210,34.21369863013699
79,"2,182",24110,27.7013698630137
84,"2,233",10330,28.610958904109587
87,"2,246",10540,34.087671232876716
93,"2,305",10540,34.156164383561645
101,"2,337",10160,33.54246575342466
104,41,10140,2.334246575342466
105,"1,042",12345,6.526027397260274
106,"2,084",20170,29.28767123287671
119,"2,365",10140,26.898630136986302
122,"2,369",10150,32.032876712328765
123,21,12460,21.10958904109589
124,22,20100,29.28767123287671
133,"2,535",10150,37.85205479452055
134,"2,542",11120,49.676712328767124
137,"2,553",10800,38.657534246575345
141,"2,584",10330,34.082191780821915
142,"2,602",83110,52.59178082191781
149,"2,777",10400,27.183561643835617
160,"2,558",20110,50.1972602739726
162,"2,664",10120,31.54794520547945
173,"2,762",84000,24.15890410958904
180,"2,799",10700,22.353424657534248
183,"2,435",11130,33.556164383561644
188,"2,488",11120,27.947945205479453
191,"2,498",21130,40.61917808219178
197,"2,686",10540,41.26849315068493
198,"2,687",10510,46.58904109589041
219,"2,506",10280,29.273972602739725
220,"2,509",20180,36.50410958904109
232,"2,647",10210,47.654794520547945
234,"2,684",93000,30.786301369863015
236,"2,716",10160,47.93972602739726
240,"2,790",10510,38.271232876712325
241,"2,803",10220,28.08219178082192
246,"2,462",11130,27.394520547945206
248,"2,468",10540,39.04931506849315
252,"2,502",40000,21.14246575342466
259,"2,529",10400,36.45479452054794
273,"2,490",10240,31.942465753424656
275,"2,500",10310,40.342465753424655
279,"2,566",95110,57.18082191780822
288,"2,744",10240,30.136986301369863
295,"2,784",83150,51.082191780821915
302,"2,429",70110,26.315068493150687
303,"2,431",11110,36.534246575342465
309,"2,479",10150,35.054794520547944
311,"2,487",10250,35.202739726027396
313,"2,513",21130,51.4
318,"2,565",10310,33.28493150684932
325,"2,723",10240,34.43835616438356
329,"2,463",10250,31.101369863013698
333,"2,478",11120,35.26301369863014
335,"2,503",10900,29.71232876712329
343,"2,620",10310,45.81095890410959
356,"2,850",10240,37.46027397260274
358,"2,905",10310,5.057534246575343
359,"2,906",11130,34.323287671232876
363,"3,183",10160,46.8054794520548
369,"3,237",11000,37.394520547945206
370,"3,244",11120,30.528767123287672
372,"3,246",10260,35.04931506849315
374,"3,267",60000,34.035616438356165
377,"46,863",83000,38.64657534246575
381,"2,854",10220,37.48219178082192
383,"2,907",10120,36.010958904109586
385,"2,944",10900,35.66301369863014
386,"2,984",10120,39.70958904109589
389,"3,070",10400,29.350684931506848
390,"3,071",10600,1.5917808219178082
396,"3,331",10120,31.824657534246576
402,"3,337",10270,36.59452054794521
407,"2,942",10160,33.21369863013699
409,"3,002",10400,54.70958904109589
414,"3,223",50200,37.87123287671233
422,"3,341",10900,40.11232876712329
424,"3,347",10160,32.583561643835615
427,"3,353",10240,38.73424657534247
428,"3,354",10160,29.736986301369864
447,"3,361",10110,54.79178082191781
449,"3,363",10250,30.682191780821917
452,"3,366",10120,31.953424657534246
453,"3,367",10600,31.53698630136986
454,"3,368",10150,33.558904109589044
456,"3,370",10500,28.443835616438356
466,"2,991",10210,38.12054794520548
468,"3,024",25220,42.558904109589044
469,"3,046",10290,32.48219178082192
471,"3,062",11110,31.983561643835618
478,"6,762",71000,40.032876712328765
481,"6,763",10110,33.136986301369866
482,"3,328",10210,36.52328767123288
491,"2,938",10540,36.394520547945206
498,"3,082",90000,63.38356164383562
500,"3,123",10400,32.202739726027396
510,"3,303",83110,30.80821917808219
519,"2,943",70000,28.65205479452055
524,"3,069",20000,43.271232876712325
526,"3,124",10120,37.967123287671235
530,"3,163",10160,27.328767123287673
535,"3,266",10250,27.504109589041096
536,"3,282",10900,32.06849315068493
541,"3,522",10250,37.68767123287671
542,"3,562",10540,40.74520547945205
544,"3,568",10170,29.745205479452054
548,"3,848",12130,26.10958904109589
549,"3,864",10400,41.95068493150685
555,"4,002",10600,31.232876712328768
557,"4,009",10310,35.85753424657534
583,"3,908",10330,29.224657534246575
587,"4,044",10150,35.45479452054794
588,"4,046",10400,29.45205479452055
589,"4,052",10310,27.778082191780822
591,"4,062",10240,36.032876712328765
592,"4,063",10220,44.964383561643835
596,"3,388",10520,34.61917808219178
608,"3,903",10240,51.80821917808219
610,"4,006",10160,33.487671232876714
612,"4,012",56000,51.11506849315069
614,"4,042",10400,30.884931506849316
625,"3,444",10240,29.958904109589042
631,"3,493",10310,27.934246575342467
637,"3,726",21130,42.24109589041096
641,"3,767",76000,28.854794520547944
643,"3,802",10510,39.136986301369866
645,"3,851",11000,50.93698630136986
653,"3,542",10400,32.56712328767123
656,"3,587",12120,29.649315068493152
657,"3,602",10900,39.010958904109586
661,"3,663",70120,44.11780821917808
667,"3,933",67120,42.21643835616438
673,"3,443",10500,33.032876712328765
677,"3,488",10700,44.635616438356166
678,"3,490",10310,41.71780821917808
685,"3,626",10170,55.134246575342466
686,"3,730",10250,32.88219178082192
713,"3,771",10240,39.8027397260274
716,"3,842",10900,35.221917808219175
720,"3,863",10120,40.728767123287675
723,"3,904",10260,39.25479452054795
734,"3,586",10400,28.161643835616438
736,"3,665",58130,29.665753424657535
748,"3,978",11130,31.56986301369863
749,"3,979",10150,34.153424657534245
750,,,36.413698630136984
754,"4,084",10540,44.26575342465753
756,"4,122",10220,32.3013698630137
765,"4,275",10260,53.106849315068494
767,"4,278",10260,35.227397260273975
770,"4,281",10600,33.06849315068493
