,NODE,LTEXT,LTEXT_T
145,E3,COCOA BROWN,โกโก้ บราวน์
146,E4,TRAVERTINE,ทราเวอร์ทีน
147,E5,CARRARA,คาร์ลาล่า
148,E6,AUTUMN BROWN,ออทัมน์บราวน์
149,E7,SOLID OAK,โซลิดโอ๊ค
150,F9,Denim,เดนิม
151,F8,ROYAL ACACIA,รอยัล อคาเซีย
152,G1,CINNAMON,ชินนามอน
153,G2,NICKEL GLOSS,นิเกิล กรอส
154,G3,MIRROR,กระจก
155,G4,MALTA,มอลทา
156,G5,STONE,สโตน
157,CK,KITCHEN SET DIVANI,ชุดครัวดิวานี่
158,CL,KITCHEN SET DOMINO,ชุดครัวโดมิโน
