,NODE,LTEXT,LTEXT_T
132,AD,โคมไฟแชงเดอร์เรีย,
133,AE,**Delete**,
134,AF,**Delete**,
135,AG,กล่องใส่กุญแจ,
136,AH,ที่แขวนเครื่องประดับ,
137,AI,กล่องทิชชู่,
138,AJ,ดอกไม้ปลอม,
139,AK,ต้นไม้ปลอม,
140,AL,รั้ว,
141,AM,หญ้าเทียม,
142,AN,อุปกรณ์ตัดแต่งต้นไม้และดูแลสวน,
143,AO,สปาและอุปกรณ์,
144,AP,ที่ทับกระดาษ,
145,AQ,สติ๊กเกอร์ติดผนัง,
146,AR,ชุดเครื่องนอนเด็ก,
147,AS,เตียงสั่งทำ,
148,AT,ชุดวางทีวีและตู้เก็บของสั่งทำ,
149,AU,อาร์มแชร์ผ้า,
150,AV,**Delete**,
151,AW,อาร์มแชร์หนังแท้ทั้งตัว,
152,AX,อาร์มแชร์หนังสังเคราะห์,
153,AY,อาร์มแชร์ไม้,
154,AZ,อาร์มแชร์เหล็ก,
155,B0,โต๊ะอาหารหินล้วน,Dining Table/Natural Stone Top
156,B1,ไซด์บอร์ด,
157,B2,ไม้รองท็อป,
158,B3,ไส้หมอนอิง,
159,B4,กรอบรูป,
160,B5,กระจกแบบแขวน,
161,B6,กระจกแบบตั้งโต๊ะ,
162,B7,กระจกแบบตั้งพื้น,
163,B8,กระจกแบบติดผนัง,
164,B9,**Delete**,
165,BA,**Delete**,
166,BB,หินควอทซ์,
167,BC,หินสังเคราะห์,
168,BD,หินแกรนิต,
169,C0,**Delete**,
170,C1,**Delete**,
171,C2,กล่องแขวน,Hanging Box
172,C3,กล่องใส่นิตยสาร,
173,C4,กล่องอเนกประสงค์,
174,C5,ของใช้บนโต๊ะอาหาร,
175,C6,คอนโซล,
176,C7,ชั้นแขวน,
177,C8,ชั้นวางคีย์บอร์ด,
178,C9,ชั้นวางซีดี/หนังสือ,
179,D0,**Delete**,
180,D1,Stainless Kitchen,
181,D2,ตู้เตี้ยบานเปิด,
182,D3,ตู้เตี้ยลิ้นชัก,
183,D4,ตู้เสื้อผ้าบานเปิด,
184,D5,ตู้เสื้อผ้าบานเฟี้ยม,
185,D6,ตู้เสื้อผ้าบานเลื่อน,
186,D7,ตู้แขวน,
187,D8,ตู้แขวนทีวี,
188,D9,ตู้โชว์,
189,E0,ตู้โชว์+วางทีวี,
190,E1,ตู้กั้นห้อง/ชั้นกั้นห้อง,
191,E2,ตู้รองเท้า,
192,E3,ตู้ลิ้นชักล้อเลื่อน,
193,E4,ตู้สูง,
194,E5,ถาดใส่เอกสาร,
195,E6,ที่นอนสั่งทำ,
196,E7,ที่นอนเมมโมรี่โฟม,
197,E8,ที่นอนพ็อคเกตสปริง,
198,E9,ที่นอนยางพารา,
199,F0,ที่นอนวิสโคอีลาสติก,
200,F1,ที่นอนสปริง,
201,F2,นาฬิกาแขวนผนัง,
202,F3,นาฬิกาตั้งโต๊ะ,
203,F4,บอดี้ + หน้าบานชุดครัว,
204,F5,บอดี้ชุดครัว,
205,F6,บอดี้ตู้,
206,F7,ปลอกหมอนอิง,
207,F8,ผนังตกแต่งไม้,
208,F9,ผนังตกแต่งกล่องเก็บของ,
209,G0,ผนังตกแต่งผ้า,
210,G1,ผนังตกแต่งหนัง,
211,G2,ผ้าปูโต๊ะ,
212,G3,ผ้าม่านสั่งทำ,
213,G4,ผ้าม่านสำเร็จรูป,
214,G5,ผ้าหุ้มโซฟา,
215,G6,**Delete**,
216,G7,พรมห้องน้ำ,
217,G8,**Delete**,**Delete**
218,G9,มือจับ,
219,H0,สตูล,
220,H1,สตูลสั่งทำ,
221,H2,สตูล โซฟา,
222,H3,หน้าบาน,
223,H4,หน้าบานชุดครัว,
224,H5,หน้าบานตู้เสื้อผ้าบานเปิด,
225,H6,หน้าบานตู้เสื้อผ้าบานเลื่อน,
226,H7,หน้าบานประตู,
227,H8,หมอนสั่งทำ,
228,H9,**Delete**,
