CUSTOMER_ID,ADDRESS_POSTAL_CODE
2083,20170
2390,10250
2406,10150
2412,11110
2413,11000
2416,10280
2082,11120
2142,10140
2291,12130
2316,10250
2391,11110
2426,11130
2085,10330
2229,21140
2243,11150
2264,10700
2309,10260
2392,10240
2402,11000
2405,10210
2182,24110
2233,10330
2246,10540
2305,10540
2337,10160
41,10140
1042,12345
2084,20170
2365,10140
2369,10150
21,12460
22,20100
2535,10150
2542,11120
2553,10800
2584,10330
2602,83110
2777,10400
2558,20110
2664,10120
2762,84000
2799,10700
2435,11130
2488,11120
2498,21130
2686,10540
2687,10510
2506,10280
2509,20180
2647,10210
2684,93000
2716,10160
2790,10510
2803,10220
2462,11130
2468,10540
2502,40000
2529,10400
2490,10240
2500,10310
2566,95110
2744,10240
2784,83150
2429,70110
2431,11110
2479,10150
2487,10250
2513,21130
2565,10310
2723,10240
2463,10250
2478,11120
2503,10900
2620,10310
2850,10240
2905,10310
2906,11130
3183,10160
3237,11000
3244,11120
3246,10260
3267,60000
46863,83000
2854,10220
2907,10120
2944,10900
2984,10120
3070,10400
3071,10600
3331,10120
3337,10270
2942,10160
3002,10400
3223,50200
3341,10900
3347,10160
3353,10240
3354,10160
3361,10110
3363,10250
3366,10120
3367,10600
3368,10150
3370,10500
2991,10210
3024,25220
3046,10290
3062,11110
6762,71000
6763,10110
3328,10210
2938,10540
3082,90000
3123,10400
3303,83110
2943,70000
3069,20000
3124,10120
3163,10160
3266,10250
3282,10900
3522,10250
3562,10540
3568,10170
3848,12130
3864,10400
4002,10600
4009,10310
3908,10330
4044,10150
4046,10400
4052,10310
4062,10240
4063,10220
3388,10520
3903,10240
4006,10160
4012,56000
4042,10400
3444,10240
3493,10310
3726,21130
3767,76000
3802,10510
3851,11000
3542,10400
3587,12120
3602,10900
3663,70120
3933,67120
3443,10500
3488,10700
3490,10310
3626,10170
3730,10250
3771,10240
3842,10900
3863,10120
3904,10260
3586,10400
3665,58130
3978,11130
3979,10150
3980,
4084,10540
4122,10220
4275,10260
4278,10260
4281,10600
4285,21000
4327,12000
4218,34000
4264,10700
4288,10320
4307,10400
4308,10250
4346,10270
4371,83000
4207,10120
4214,84320
4343,10540
4422,10160
4483,70120
4212,11130
4484,10600
4527,10240
4546,30260
4548,10250
4090,10600
4169,10160
4202,10330
4204,10530
4209,10330
4287,73120
4302,10310
4075,10110
4105,11000
4179,10160
4223,10150
4387,15000
4082,36110
4085,74130
4246,65160
4286,10140
4305,10600
4342,10300
4404,12000
4444,31110
4602,16130
4662,10150
4772,10700
4903,10240
4935,11120
4945,10210
4958,30000
4936,73000
4947,10800
4948,10310
4962,10140
4966,10400
5042,10230
4873,11140
4982,10160
4988,10240
5055,11110
5056,
5058,10600
5063,73000
4960,11120
4984,10150
4989,10900
5082,10230
5085,11000
4802,10260
4875,11000
4883,10510
4979,72180
4934,10240
4970,10400
4983,10240
5053,10600
5066,10540
5068,10310
5069,12110
4642,10300
4651,10260
4944,83000
4978,10210
4991,10260
5022,12150
4605,10110
4785,10240
4826,10800
4827,10240
4933,10260
4937,10100
4951,12150
5512,10900
5528,13160
5662,11000
5805,10110
5556,10310
5922,10600
6006,96110
5342,10250
5553,24140
5882,96000
6004,10400
5208,66110
5506,20000
5507,10400
5511,10100
5544,30000
5547,11120
6043,10800
5246,93000
5251,74110
5286,25000
5383,10270
5406,10260
5509,11000
5623,10700
5648,10160
5124,10220
5283,12130
5445,10170
5522,10100
5523,10110
5542,10510
5723,10240
5823,10500
6645,73150
6688,12000
6777,10900
6852,10540
6902,57120
6903,10160
6905,10110
6662,10400
6704,10500
6710,11110
6711,10330
6842,10120
6924,10250
6943,11000
6354,10120
6483,50230
6522,10600
6562,10400
6563,11140
6712,
6443,84140
6484,53000
6526,10520
6542,70120
6683,10270
6866,10310
6867,10210
6871,10700
6291,10250
6644,18000
6686,10140
6778,40110
6805,10240
6877,10400
