"ITEM_ID","IDEABOOK_ID","MATNR","INSPIRATION_ID","IMAGE_ID","ITEM_TYPE","PHOTO_ID"
"6,464","11,101","19101644",,,MDM_CYBER,
"6,542","11,261","19111052",,,MDM_CYBER,
"6,582","11,403","59008563",,,MDM_CYBER,
"6,587","11,416","59008341",,,MDM_CYBER,
"6,590","11,416","19077272",,,MDM_CYBER,
"6,591","11,416","19077277",,,MDM_CYBER,
"6,593","11,416","19045749",,,MDM_CYBER,
"6,595","11,425","19110739",,,MDM_CYBER,
"6,598","11,431","19100638",,,MDM_CYBER,
"6,599","11,431","19090935",,,MDM_CYBER,
"6,604","11,425","19035150",,,MDM_CYBER,
"6,608","11,425","19096189",,,MDM_CYBER,
"6,625","11,445","19109482",,,MDM_CYBER,
"6,627","11,449","19096178",,,MDM_CYBER,
"6,662","4,703","19015920",,,MDM_CYBER,
"6,682","11,506","59007630",,,MDM_CYBER,
"6,688","11,511","19077060",,,MDM_CYBER,
"6,703","11,520","19101638",,,MDM_CYBER,
"6,709","11,520","19088987",,,MDM_CYBER,
"6,711","11,520","19081402",,,MDM_CYBER,
"6,714","11,520","19071497",,,MDM_CYBER,
"6,723","11,520","19045919",,,MDM_CYBER,
"6,725","11,520","19050260",,,MDM_CYBER,
"6,726","11,520","19042791",,,MDM_CYBER,
"6,727","11,520","19051974",,,MDM_CYBER,
"6,728","11,520","19023891",,,MDM_CYBER,
"6,743","11,560","19097824",,,MDM_CYBER,
"6,762","11,623",,"2,365",,INSPIRATION,
"6,763","11,623",,"2,601",,INSPIRATION,
"6,764","3,542","59007665",,,MDM_CYBER,
"6,770","11,642","19077254",,,MDM_CYBER,
"6,782","11,425","19101200",,,MDM_CYBER,
"6,783","11,425","19112184",,,MDM_CYBER,
"6,784","11,425","19110809",,,MDM_CYBER,
"6,822","11,748","19101638",,,MDM_CYBER,
"6,823","11,748","19097683",,,MDM_CYBER,
"6,824","11,748","19086674",,,MDM_CYBER,
"6,825","11,748","19077731",,,MDM_CYBER,
"6,826","11,748","19042803",,,MDM_CYBER,
"6,827","11,748","19023897",,,MDM_CYBER,
"6,844","11,803","19096169",,,MDM_CYBER,
"6,847","11,804",,"2,621",,INSPIRATION,
"6,851","11,642","19111275",,,MDM_CYBER,
"6,864","11,831","19106682",,,MDM_CYBER,
