ORDER_ID,CUSTOMER_ID,BPCODE,CREATE_DATE,UPDATE_DATE,STATUS
5341,13842,1100712196,2015-11-25 11:31:00,2017-06-20 10:54:00,CANCEL
5342,13842,1100712196,2015-11-25 11:31:00,2017-06-20 10:54:00,CANCEL
5561,13842,1100712196,2015-11-29 12:56:00,2017-06-20 10:55:00,CANCEL
9441,13842,1100712196,2016-01-01 20:05:00,2017-06-20 10:55:00,CANCEL
9481,13842,1100712196,2016-02-01 12:00:00,2017-06-20 10:55:00,CANCEL
10642,13842,1100712196,2016-01-13 09:53:00,2017-06-20 10:54:00,CANCEL
11161,13842,1100712196,2016-01-17 12:06:00,2017-06-20 10:54:00,CANCEL
9001,13842,1100712196,2015-12-30 13:40:00,2017-06-20 10:56:00,CANCEL
7981,11294,1100385214,2015-12-24 01:29:00,2017-10-21 15:23:00,CANCEL
9161,21245,1100715726,2015-12-30 22:52:00,2017-09-28 14:22:00,CANCEL
10361,13842,1100712196,2016-11-01 16:50:00,2017-06-20 10:55:00,CANCEL
14903,29644,1100735017,2016-02-14 14:43:00,2017-10-11 23:38:00,CANCEL
13881,28702,1100732913,2016-05-02 13:50:00,2017-08-19 07:15:00,CANCEL
19301,36842,1100747096,2016-05-04 06:41:00,2017-02-12 21:52:00,CANCEL
21106,8885,1100671948,2016-04-19 14:03:00,2017-03-12 11:24:00,CANCEL
21107,8885,1100671948,2016-04-19 14:25:00,2017-03-12 11:22:00,CANCEL
19281,36842,1100747096,2016-05-04 01:18:00,2017-02-12 21:54:00,CANCEL
19401,31213,1100584027,2016-06-04 11:22:00,2017-06-28 19:07:00,CANCEL
24801,45562,1100758999,2016-05-23 15:19:00,2017-09-06 11:25:00,CANCEL
21103,8885,1100671948,2016-04-19 13:49:00,2017-03-12 11:24:00,CANCEL
21105,8885,1100671948,2016-04-19 14:00:00,2017-03-12 11:24:00,CANCEL
27284,46388,1100656747,2016-11-06 14:24:00,2017-05-31 21:12:00,CANCEL
27285,46388,1100656747,2016-11-06 14:54:00,2017-05-31 21:12:00,CANCEL
27288,46388,1100656747,2016-11-06 15:05:00,2017-05-31 21:12:00,CANCEL
27281,46388,1100656747,2016-11-06 13:49:00,2017-05-31 21:11:00,CANCEL
25981,46388,1100656747,2016-03-06 08:54:00,2017-05-31 21:11:00,CANCEL
28281,25503,1100526827,2016-06-19 07:35:00,2017-01-06 00:33:00,CANCEL
26782,46709,1100629436,2016-08-06 14:19:00,2017-05-22 10:24:00,CANCEL
27282,46388,1100656747,2016-11-06 14:04:00,2017-05-31 21:12:00,CANCEL
27283,46388,1100656747,2016-11-06 14:06:00,2017-05-31 21:12:00,CANCEL
27287,46388,1100656747,2016-11-06 14:55:00,2017-05-31 21:12:00,CANCEL
27291,46388,1100656747,2016-11-06 15:17:00,2017-05-31 21:12:00,CANCEL
27292,46388,1100656747,2016-11-06 15:19:00,2017-05-31 21:12:00,CANCEL
27290,46388,1100656747,2016-11-06 15:11:00,2017-05-31 21:12:00,CANCEL
33681,60702,1100777513,2016-01-08 04:42:00,2017-11-11 14:36:00,CANCEL
36042,33609,1100781215,2016-08-22 20:36:00,2017-12-26 18:38:00,CANCEL
33661,60164,1100777485,2016-07-31 21:30:00,2017-11-11 01:37:00,CANCEL
33662,60164,1100777485,2016-07-31 21:30:00,2017-11-11 01:37:00,CANCEL
32242,58043,1100514812,2016-07-18 14:27:00,2017-11-09 14:55:00,CANCEL
33663,60164,1100777485,2016-07-31 21:35:00,2017-11-11 01:37:00,CANCEL
36041,33609,1100781215,2016-08-22 20:35:00,2017-12-26 18:38:00,CANCEL
31443,46388,1100656747,2016-09-07 14:17:00,2017-05-31 21:11:00,CANCEL
37903,33609,1100781215,2016-11-09 22:59:00,2017-12-26 18:37:00,CANCEL
41261,76104,1100792762,2016-10-10 21:55:00,2017-10-28 11:41:00,CANCEL
42001,60164,1100777485,2016-10-18 07:08:00,2017-11-11 01:38:00,CANCEL
38021,60164,1100777485,2016-09-13 11:30:00,2017-11-11 01:37:00,CANCEL
38743,25202,1100729611,2016-09-19 22:08:00,2017-12-09 11:29:00,CANCEL
41541,76424,1100793010,2016-12-10 15:07:00,2017-10-08 14:56:00,CANCEL
44061,11523,1100493234,2016-05-11 15:03:00,2017-07-30 18:06:00,CANCEL
46601,75625,1100803003,2016-11-27 18:50:00,2017-08-07 16:39:00,CANCEL
44825,79783,1100799500,2016-11-11 23:37:00,2017-11-29 07:52:00,CANCEL
48004,85028,1100805519,2016-05-12 20:46:00,2017-12-23 23:25:00,CANCEL
49481,21408,1100699001,2016-12-12 20:13:00,2017-12-19 20:32:00,CANCEL
49418,89389,1100806991,2016-12-12 14:37:00,2017-10-11 19:57:00,CANCEL
49503,25202,1100729611,2016-12-13 07:26:00,2017-12-09 11:29:00,CANCEL
49559,89733,1100806905,2016-12-13 20:21:00,2017-09-21 18:05:00,CANCEL
49571,79783,1100799500,2016-12-13 21:08:00,2017-01-12 15:46:00,CANCEL
47164,42787,1100551873,2016-11-30 22:57:00,2017-03-08 21:04:00,CANCEL
49582,89725,1100500289,2016-12-13 23:23:00,2017-07-06 22:50:00,CANCEL
47201,86004,1100655868,2016-01-12 08:30:00,2017-07-08 22:25:00,CANCEL
53328,42787,1100551873,2016-12-28 21:40:00,2017-03-08 21:04:00,CANCEL
53424,59085,1100775688,2016-12-29 13:12:00,2017-11-11 12:38:00,CANCEL
53463,31213,1100584027,2016-12-29 15:22:00,2017-06-28 19:07:00,CANCEL
