CUSTOMER_ID,IS_DESIGNER,BPCODE,ADDRESS_POSTAL_CODE,AGE
2083,N,1100698858,20170,29.443835616438356
2102,N,1900036840,,
2223,N,1900036887,,
2224,N,1900036888,,
2284,N,1900036922,,
2285,N,1900036923,,
2289,N,1900036929,,
2303,N,1900036940,,
2307,N,1900036943,,
2321,N,1100502433,11120,
2325,N,1100699667,10210,
2331,N,1900036960,,
2342,N,1900036971,,
2390,N,1100700539,10250,31.665753424657535
2397,N,1900036993,,
2404,N,1900036997,,
2406,N,1100698992,10150,34.50410958904109
2407,N,1900036999,,
2408,N,1900037000,,
2410,N,1900037002,,
2411,N,1900037003,,
2412,N,1100463792,11110,28.457534246575342
2413,N,1100694276,11000,35.85479452054795
2414,N,1900037004,,
2416,N,1100556743,10280,36.00821917808219
2417,N,1100699981,10220,
2082,N,1100500779,11120,41.47123287671233
2142,N,1100810163,10140,29.665753424657535
2202,Y,1900036883,,
2265,N,1900036917,,
2266,N,1900036918,,
2288,N,1900036926,,
2291,N,1100699532,12130,33.75068493150685
2294,N,1900036937,,
2306,N,1900036942,,
2313,N,1100696324,10170,
2316,N,1100685510,10250,22.723287671232878
2323,N,1900036952,,
2335,N,1900036965,,
2341,N,1900036970,,
2372,N,1900036976,,
2383,N,1900036978,,
2391,N,1100688593,11110,29.89041095890411
2401,N,1900036994,,
2409,N,1900037001,,
2418,N,1900037005,,
2419,N,1900037006,,
2420,N,1900037007,,
2422,N,1900037008,,
2423,N,1100700629,10510,
2424,N,1900037009,,
2425,N,1900037010,,
2426,N,1100681552,11130,39.00821917808219
2085,N,1100726078,10330,21.265753424657536
2122,N,1900036853,,
2123,N,1900036849,,
2222,N,1900036886,,
2229,N,1100671430,21140,34.37534246575343
2235,N,1100668062,10250,
2243,N,1100443490,11150,37.54246575342466
2244,N,1900036908,,
2247,N,1900036913,,
2263,N,1900036916,,
2264,N,1100700555,10700,43.95616438356164
2287,N,1900036925,,
2292,N,1900036931,,
2309,N,1100699618,10260,36.942465753424656
2314,N,1900036944,,
2315,N,1900036945,,
2317,N,1900036946,,
2328,N,1900036956,,
2333,N,1900036962,,
2386,N,1900036980,,
2392,N,1100678088,10240,41.772602739726025
2402,N,1100462892,11000,36.4
2405,N,1100700227,10210,34.36986301369863
2415,N,1100517607,11130,
2427,N,1900037012,,
2163,Y,1900036870,,
2182,N,1100657814,24110,27.85753424657534
2226,N,1900036902,,
2227,N,1900036903,,
2228,N,1900036904,,
2230,N,1100699857,10240,
2233,N,1100465531,10330,28.767123287671232
2234,N,1900036905,,
2242,N,1900036906,,
2246,N,1100700721,10540,34.24383561643835
2262,N,1900036915,,
2282,N,1900036919,,
2283,N,1900036920,,
2286,N,1900036924,,
2304,N,1900036941,,
2305,N,1100700067,10540,34.31232876712329
2308,N,1900031340,,
2324,N,1900036953,,
2326,N,1900036954,,
2327,N,1900036955,,
2330,N,1100699614,10520,
2332,N,1900036961,,
2334,N,1900036964,,
2337,N,1100700075,10160,33.6986301369863
2338,Y,1900036967,,
2366,N,1900036974,,
41,N,1100700519,10140,2.4904109589041097
1042,N,1100462891,12345,6.682191780821918
2084,N,1100702501,20170,29.443835616438356
2225,N,1900036890,,
2245,N,1900036910,,
2290,N,1900036930,,
2293,N,1900036936,,
2318,N,1900036948,,
2319,N,1900036949,,
2320,N,1100657815,10140,
2329,N,1900036957,,
2336,N,1900036966,,
2339,N,1900036968,,
2340,N,1900036969,,
2364,N,1900036973,,
2365,N,1100675320,10140,27.054794520547944
2367,N,1900036975,,
2368,N,1100572715,10140,
2369,N,1100690198,10150,32.18904109589041
21,N,1100658148,12460,21.265753424657536
22,N,1100700373,20100,29.443835616438356
2385,N,1900036979,,
2388,N,1900036981,,
2389,Y,1900036991,,
2525,N,1900037100,,
2526,N,1900037101,,
2527,N,1900037102,,
2528,N,1900037103,,
2534,N,1900037107,,
2535,N,1100699834,10150,38.00821917808219
2542,N,1100697915,11120,49.83287671232877
2548,N,1900037113,,
2550,N,1900037114,,
2553,N,1100688239,10800,38.81369863013698
2555,N,1900037117,,
2560,N,1900037131,,
2570,N,1900034326,,
2584,N,1100657780,10330,34.23835616438356
2602,N,1100666719,83110,52.74794520547945
2607,N,1900037149,,
2615,N,1900037159,,
2616,N,1900037160,,
2621,N,1100691561,10540,
2642,N,1100698286,12130,
2765,N,1900037243,,
2777,N,1100700158,10400,27.339726027397262
2780,N,1900037268,,
2781,N,1900037269,,
2787,N,1900037278,,
2791,N,1900037285,,
2465,N,1900037045,,
2489,N,1900037060,,
2494,N,1900019405,,
2507,N,1900037078,,
2524,N,1900037098,,
2554,N,1100684609,10260,
2558,N,1100695901,20110,50.35342465753425
2662,N,1900037186,,
2664,N,1100530838,10120,31.704109589041096
2683,N,1900037197,,
2689,N,1900037200,,
2702,N,1900037204,,
2704,N,1900037206,,
2712,N,1900037215,,
2717,N,1900037220,,
2718,N,1900037221,,
2722,N,1900037228,,
2742,N,1900037233,,
2746,N,1900037236,,
2762,N,1100701030,84000,24.315068493150687
2771,N,1900037247,,
2792,N,1900037286,,
2793,N,1900037287,,
2794,N,1900037289,,
2797,N,1900037295,,
2798,N,1900036561,,
2799,N,1100701029,10700,22.50958904109589
2800,N,1900037299,,
2802,N,1900037302,,
2435,N,1100663533,11130,33.71232876712329
2438,N,1900037027,,
2440,N,1900037029,,
2442,N,1900037041,,
2485,N,1900037058,,
2488,N,1100468231,11120,28.104109589041094
2492,N,1900037064,,
2493,N,1900037067,,
2498,N,1100745970,21130,40.775342465753425
2501,N,1900037075,,
2515,N,1900037087,,
2563,N,1900037134,,
2586,N,1900037146,,
2646,N,1900037182,,
2686,N,1100876589,10540,41.42465753424658
2687,N,1100700477,10510,46.74520547945205
2705,N,1900037207,,
2707,N,1900037211,,
2721,N,1900037224,,
2770,N,1900037246,,
2795,N,1900037292,,
2804,N,1900037303,,
2805,N,1900037305,,
2806,N,1900037306,,
2823,N,1900037309,,
2824,N,1900037310,,
2826,N,1900037314,,
2827,N,1900037317,,
2842,N,1900037320,,
2843,N,1900037321,,
2846,N,1900037323,,
2428,N,1900037013,,
2437,N,1900037025,,
2441,N,1900037030,,
2467,N,1900037047,,
2505,N,1900037077,,
2506,N,1100627979,10280,29.43013698630137
2509,N,1100605014,20180,36.66027397260274
2511,N,1900037081,,
2512,N,1900037084,,
2551,N,1900037115,,
2552,N,1900037116,,
2569,N,1900037139,,
2583,Y,1900037142,,
2585,N,1900037144,,
2587,N,1900037147,,
2588,N,1900037148,,
2614,N,1900037155,,
2645,N,1900037181,,
2647,N,1100695441,10210,47.81095890410959
2665,N,1900037189,,
2684,N,1100697076,93000,30.942465753424656
2685,N,1900037198,,
2716,N,1100689691,10160,48.0958904109589
2776,N,1900037265,,
2778,N,1900037266,,
2785,N,1900037274,,
2790,N,1100694849,10510,38.42739726027397
2803,N,1100658820,10220,28.23835616438356
2807,N,1900037307,,
2825,N,1900037311,,
2432,N,1900037020,,
2434,N,1900037022,,
2462,N,1100515572,11130,27.55068493150685
2466,N,1900037046,,
2468,N,1100640205,10540,39.205479452054796
2491,N,1900037063,,
2495,N,1900037068,,
2499,N,1900037072,,
2502,N,1100678972,40000,21.2986301369863
