ITEM_ID,CART_ID,MATNR,QUANTITY,TOTAL_PRICE,F_CANBUY
3201,3122,19042767,1,16800.0,Y
3425,3302,59007616,1,64900.0,Y
3448,3343,19058098,1,31400.0,Y
4779,4888,19045725,1,6650.0,Y
3242,3143,19111304,1,15400.0,Y
112143,116532,19111301,1,5250.0,Y
3483,3382,19080297,1,28900.0,Y
26087,28958,19077088,1,2079.0,Y
9225,9904,19110082,1,5670.0,Y
3581,3482,19097833,1,8610.0,Y
10421,11363,19110765,1,7900.0,Y
3586,3503,19110082,1,5670.0,Y
3587,3483,19088986,1,8900.0,Y
3589,3503,19110086,1,3150.0,Y
112242,117242,25024869,1,392.0,Y
3592,3463,25015938,1,199.0,Y
3721,3682,19086672,1,10900.0,Y
3722,3682,19086678,1,19950.0,Y
3744,3703,19042798,1,19950.0,Y
3746,3704,19089163,1,11500.0,Y
3748,3703,19077689,1,9300.0,Y
3762,3722,19088984,1,5900.0,Y
4305,4362,19055902,1,15700.0,Y
3902,3923,19077275,1,2390.0,Y
78136,84206,19090888,1,9200.0,Y
112151,59623,19125903,1,18900.0,Y
78138,84207,19087908,1,39900.0,Y
26084,28958,19070063,1,2079.0,Y
112212,117162,25025838,1,390.0,Y
7561,8062,19078314,1,29400.0,Y
112152,59623,19125902,1,18900.0,Y
26085,28958,19070063,1,2079.0,Y
26089,28462,19112396,1,2380.0,Y
4198,4302,19077083,1,13615.0,Y
4199,4302,19097694,1,3990.0,Y
4284,4402,19068258,9,22050.0,Y
4342,4502,19110342,1,11060.0,Y
4343,4502,19101642,1,6580.0,Y
4421,4444,59007251,1,28900.0,Y
26090,28462,25023348,1,890.0,Y
5225,5382,19106685,1,1990.0,Y
4961,4322,19031471,1,7200.0,Y
112206,117162,19115478,1,8500.0,Y
4962,4322,19090407,1,6300.0,Y
4922,5062,19109094,1,4800.0,Y
4923,5062,19109095,1,3500.0,Y
5004,5162,19088808,1,17900.0,Y
26101,28962,19045751,1,12750.0,Y
5226,5382,19101652,1,3190.0,Y
112214,117162,25025846,1,199.0,Y
26121,28982,19071519,1,1690.0,Y
5261,5482,25017287,1,190.0,Y
112256,117265,19060546,1,5400.0,Y
112258,117265,19063795,1,6860.0,Y
5502,5722,25017635,1,190.0,Y
5443,5682,19071113,2,3780.0,Y
5522,5763,59009744,1,21960.0,Y
9373,10085,19077241,1,2900.0,Y
9404,10085,19005144,1,2550.0,Y
26143,29022,19070040,1,14350.0,Y
26141,29022,19111306,1,11200.0,Y
5801,6042,59008061,1,15500.0,Y
5803,6042,19041146,1,2190.0,Y
6150,6442,19096187,1,3900.0,Y
8023,8642,19000855,1,3990.0,Y
11405,6662,19100904,1,975.0,Y
6441,6783,19042702,1,11900.0,Y
6445,6783,19071521,1,2380.0,Y
78392,83907,19088106,1,15900.0,Y
78395,83907,19120623,1,9900.0,Y
6507,6842,25017389,1,650.0,Y
6509,6842,19072345,1,11900.0,Y
6561,6923,59007296,1,20900.0,Y
11201,11365,19077094,1,630.0,Y
78231,84302,19090826,1,3900.0,Y
10182,11123,19111578,1,9900.0,Y
8510,9102,19063795,1,6860.0,Y
7064,7424,59008822,1,28900.0,Y
7081,7462,19045815,1,1590.0,Y
7201,7662,19068874,1,24900.0,Y
7221,7702,59010055,1,26900.0,Y
78394,83907,19121606,1,7900.0,Y
9761,10562,19081434,1,5320.0,Y
7562,8062,19111928,1,28900.0,Y
11200,11365,19077277,1,3990.0,Y
7942,8562,19056331,1,17900.0,Y
8221,8842,19051629,1,5810.0,Y
8330,8925,19044846,1,4200.0,Y
8453,9046,19062263,1,4100.0,Y
8509,9102,19096186,1,3900.0,Y
11521,12442,19080370,1,22100.0,Y
8863,9444,19029453,1,2870.0,Y
8650,9262,19026283,1,16800.0,Y
8651,9262,19097693,1,3990.0,Y
26163,25623,19111284,1,5690.0,Y
8864,9444,19110087,1,1960.0,Y
9072,9686,19041480,1,7900.0,Y
9077,6862,19086639,1,1750.0,Y
78443,84425,19063492,1,6230.0,Y
112267,117266,19088103,1,5400.0,Y
26162,25623,19111281,2,10780.0,Y
9342,10042,19111284,1,5950.0,Y
78262,84342,19086674,1,12500.0,Y
26164,29062,19036616,1,4060.0,Y
9412,10142,19063493,1,5250.0,Y
9929,10745,19071522,2,4760.0,Y
9501,10282,19106651,1,6900.0,Y
78446,84426,59013099,1,28900.0,Y
11202,11365,19112395,1,1680.0,Y
9921,10722,19106653,1,21900.0,Y
9663,10466,19101663,1,3700.0,Y
10021,10862,19111578,1,9900.0,Y
10426,11365,59008404,1,38900.0,Y
78272,84343,19111294,1,2800.0,Y
78281,84346,19085622,1,11550.0,Y
10667,11564,19037177,1,9750.0,Y
10364,11222,19089569,1,10900.0,Y
11203,12102,19090388,2,9000.0,Y
11940,12883,19055860,1,7900.0,Y
10587,11502,19109096,1,5300.0,Y
10785,11683,59008044,1,17500.0,Y
10788,11683,59003352,1,14900.0,Y
10793,11683,19047935,1,4900.0,Y
12405,13362,59006456,1,15900.0,Y
78301,84382,19114496,1,9900.0,Y
10902,11803,19085404,1,7900.0,Y
10907,11683,19041864,1,5890.0,Y
11063,11445,25017719,3,570.0,Y
11061,11445,25018024,4,1160.0,Y
11165,8482,19077248,1,16500.0,Y
11363,12262,59010162,1,5900.0,Y
11281,12203,19094079,1,9900.0,Y
11404,6662,19027037,1,720.0,Y
11444,9462,59006481,1,26900.0,Y
11563,12483,19109908,1,15900.0,Y
11784,12724,19086638,1,11900.0,Y
11584,12506,19080289,1,4990.0,Y
11683,12642,19063493,1,5250.0,Y
11941,12883,59008116,1,20900.0,Y
112449,117266,19084562,1,8400.0,Y
12283,12864,19109649,1,7800.0,Y
12093,13042,19041352,1,2700.0,Y
11993,12904,19089099,1,27900.0,Y
26362,29283,19111578,1,9900.0,Y
12002,12922,19015844,1,6900.0,Y
78425,84418,19077715,1,14980.0,Y
12183,13142,59004535,1,29500.0,Y
12221,13182,19070691,1,6990.0,Y
12191,13142,19076182,1,6700.0,Y
12192,13142,19086650,1,4900.0,Y
12193,13142,19097938,1,3300.0,Y
112451,117266,19123187,1,12900.0,Y
78429,84418,19109692,1,21450.0,Y
12194,13142,19086651,1,3590.0,Y
12301,13222,19106902,1,6900.0,Y
12197,13142,19086639,1,1750.0,Y
12199,13162,19096149,1,7600.0,Y
12201,13163,19086650,1,4900.0,Y
12322,13242,19071053,1,2990.0,Y
12323,13262,19060219,1,5900.0,Y
12381,13322,19101638,1,9450.0,Y
12382,13322,19101642,1,6580.0,Y
12406,13362,19090400,1,4410.0,Y
