IDEABOOK_ID,CUSTOMER_ID,NAME,DESCRIPTION,IDEABOOK_TYPE
4692,3734,Mobile uploads,,MOBILE_UPLOAD
4694,3736,Mobile uploads,,MOBILE_UPLOAD
4903,3964,Mobile uploads,,MOBILE_UPLOAD
4933,3984,2B home,"Bed, wardrobe, sofa, entertain",ITEM
4946,4009,Mobile uploads,,MOBILE_UPLOAD
4980,4062,Mobile uploads,,MOBILE_UPLOAD
4991,4074,Mobile uploads,,MOBILE_UPLOAD
4992,4075,Mobile uploads,,MOBILE_UPLOAD
4993,4077,Mobile uploads,,MOBILE_UPLOAD
5000,4082,Mobile uploads,,MOBILE_UPLOAD
5001,4083,Mobile uploads,,MOBILE_UPLOAD
5002,4084,Mobile uploads,,MOBILE_UPLOAD
5003,4087,Mobile uploads,,MOBILE_UPLOAD
5004,4090,Mobile uploads,,MOBILE_UPLOAD
5005,4091,Mobile uploads,,MOBILE_UPLOAD
5006,4090,ไม่ๆๆๆ,,ITEM
5020,4102,Mobile uploads,,MOBILE_UPLOAD
5021,4103,Mobile uploads,,MOBILE_UPLOAD
5022,4104,Mobile uploads,,MOBILE_UPLOAD
5023,4105,Mobile uploads,,MOBILE_UPLOAD
5024,4106,Mobile uploads,,MOBILE_UPLOAD
5025,4107,Mobile uploads,,MOBILE_UPLOAD
5026,4107,โซฟาห้องรับแขก,,ITEM
5040,4122,Mobile uploads,,MOBILE_UPLOAD
5041,4123,Mobile uploads,,MOBILE_UPLOAD
5060,4142,Mobile uploads,,MOBILE_UPLOAD
5061,4143,Mobile uploads,,MOBILE_UPLOAD
5080,4162,Mobile uploads,,MOBILE_UPLOAD
5081,4163,Mobile uploads,,MOBILE_UPLOAD
5082,4164,Mobile uploads,,MOBILE_UPLOAD
5083,4165,Mobile uploads,,MOBILE_UPLOAD
5084,4166,Mobile uploads,,MOBILE_UPLOAD
5085,4167,Mobile uploads,,MOBILE_UPLOAD
5086,4166,พื้นที่น่ารัก,,ITEM
5087,4168,Mobile uploads,,MOBILE_UPLOAD
5088,4179,Mobile uploads,,MOBILE_UPLOAD
5100,4182,Mobile uploads,,MOBILE_UPLOAD
5101,4183,Mobile uploads,,MOBILE_UPLOAD
5120,4202,Mobile uploads,,MOBILE_UPLOAD
5121,4203,Mobile uploads,,MOBILE_UPLOAD
5122,4204,Mobile uploads,,MOBILE_UPLOAD
5123,4205,Mobile uploads,,MOBILE_UPLOAD
5124,4206,Mobile uploads,,MOBILE_UPLOAD
